iter	Passed	Remaining
441	1244	1571
442	1247	1569
443	1250	1565
444	1252	1562
445	1255	1559
446	1258	1556
447	1261	1553
448	1263	1550
449	1266	1547
450	1268	1544
451	1271	1541
452	1274	1538
453	1276	1535
454	1279	1532
455	1282	1529
456	1284	1526
457	1287	1523
458	1290	1520
459	1292	1517
460	1295	1515
461	1299	1513
462	1302	1510
463	1305	1507
464	1307	1504
465	1310	1501
466	1312	1498
467	1315	1495
468	1318	1492
469	1321	1489
470	1323	1486
471	1326	1483
472	1328	1480
473	1331	1477
474	1333	1474
475	1336	1471
476	1339	1468
477	1342	1466
478	1345	1463
479	1347	1460
480	1350	1457
481	1353	1454
482	1355	1451
483	1358	1448
484	1360	1445
485	1363	1441
486	1365	1438
487	1368	1435
488	1370	1432
489	1373	1429
490	1375	1426
491	1378	1423
492	1380	1420
493	1383	1417
494	1385	1413
495	1388	1410
496	1391	1407
497	1393	1404
498	1396	1401
499	1398	1398
500	1401	1395
501	1403	1392
502	1406	1389
503	1408	1386
504	1411	1383
505	1413	1380
506	1416	1377
507	1419	1374
508	1422	1371
509	1424	1368
510	1427	1366
511	1430	1363
512	1433	1360
513	1436	1358
514	1439	1355
515	1441	1352
516	1444	1349
517	1447	1346
518	1449	1343
519	1452	1340
520	1454	1337
521	1457	1334
522	1460	1331
523	1462	1328
524	1465	1325
525	1467	1322
526	1470	1319
527	1473	1316
528	1475	1313
529	1478	1310
530	1480	1308
531	1483	1305
532	1487	1303
533	1490	1300
534	1492	1297
535	1495	1294
536	1497	1291
537	1500	1288
538	1502	1285
539	1505	1282
540	1507	1279
541	1510	1276
542	1512	1273
543	1515	1270
544	1517	1267
545	1520	1264
546	1522	1261
547	1525	1258
548	1527	1255
549	1530	1252
550	1532	1249
551	1535	1246
552	1538	1243
553	1540	1240
554	1542	1237
555	1545	1234
556	1548	1231
557	1551	1228
558	1553	1225
559	1556	1223
560	1559	1219
561	1561	1217
562	1564	1214
563	1566	1211
564	1569	1208
565	1571	1205
566	1574	1202
567	1576	1199
568	1579	1196
569	1581	1192
570	1583	1189
571	1586	1186
572	1588	1183
573	1591	1180
574	1593	1177
575	1596	1174
576	1598	1172
577	1601	1169
578	1604	1166
579	1606	1163
580	1609	1160
581	1612	1158
582	1615	1155
583	1617	1152
584	1620	1149
585	1622	1146
586	1625	1143
587	1628	1140
588	1630	1137
589	1633	1135
590	1635	1132
591	1638	1129
592	1640	1125
593	1643	1122
594	1645	1120
595	1647	1117
596	1650	1114
597	1652	1111
598	1655	1108
599	1657	1105
600	1660	1102
601	1662	1099
602	1664	1096
603	1667	1093
604	1669	1090
605	1672	1087
606	1674	1084
607	1677	1081
608	1679	1078
609	1681	1075
610	1684	1072
611	1686	1069
612	1689	1066
613	1691	1063
614	1693	1060
615	1696	1057
616	1698	1054
617	1701	1051
618	1703	1048
619	1706	1045
620	1708	1042
621	1711	1039
622	1713	1036
623	1715	1033
624	1718	1030
625	1720	1027
626	1723	1025
627	1725	1022
628	1727	1019
629	1730	1016
630	1732	1013
631	1735	1010
632	1737	1007
633	1739	1004
634	1742	1001
635	1744	998
636	1746	995
637	1749	992
638	1751	989
639	1754	986
640	1756	983
641	1758	980
642	1761	977
643	1763	975
644	1766	972
645	1768	969
646	1771	966
647	1773	963
648	1776	960
649	1778	957
650	1781	955
651	1784	952
652	1786	949
653	1789	946
654	1791	943
655	1794	941
656	1797	938
657	1800	936
658	1803	933
659	1805	930
660	1808	927
661	1811	924
662	1814	922
663	1817	919
664	1819	916
665	1822	913
666	1824	911
667	1828	908
668	1830	905
669	1834	903
670	1836	900
671	1839	897
672	1842	895
673	1845	892
674	1847	889
675	1850	886
676	1852	883
677	1855	881
678	1858	878
679	1860	875
680	1863	872
681	1865	869
682	1868	867
683	1870	864
684	1873	861
685	1875	858
686	1878	855
687	1880	852
688	1883	850
689	1885	847
690	1887	844
691	1890	841
692	1892	838
693	1895	835
694	1897	832
695	1899	829
696	1902	827
697	1904	824
698	1907	821
699	1909	818
700	1911	815
701	1914	812
702	1916	809
703	1919	806
704	1921	804
705	1924	801
706	1926	798
707	1929	795
708	1931	792
709	1933	789
710	1936	787
711	1938	784
712	1941	781
713	1943	778
714	1945	775
715	1948	772
716	1950	769
717	1953	767
718	1955	764
719	1957	761
720	1960	758
721	1962	755
722	1965	752
723	1967	750
724	1969	747
725	1972	744
726	1974	741
727	1977	738
728	1979	735
729	1982	733
730	1984	730
731	1987	727
732	1989	724
733	1991	721
734	1994	719
735	1996	716
736	1999	713
737	2001	710
738	2004	707
739	2006	704
740	2008	702
741	2011	699
742	2013	696
743	2016	693
744	2018	690
745	2020	688
746	2023	685
747	2025	682
748	2028	679
749	2030	676
750	2033	674
751	2035	671
752	2038	668
753	2040	665
754	2043	662
755	2045	660
756	2047	657
757	2050	654
758	2052	651
759	2055	648
760	2057	646
761	2059	643
762	2062	640
763	2064	637
764	2066	634
765	2069	632
766	2071	629
767	2074	626
768	2076	623
769	2078	620
770	2081	618
771	2083	615
772	2086	612
773	2088	609
774	2091	607
775	2093	604
776	2095	601
777	2098	598
778	2100	595
779	2103	593
780	2105	590
781	2107	587
782	2110	584
783	2112	582
784	2115	579
785	2117	576
786	2119	573
787	2122	570
788	2124	568
789	2127	565
790	2129	562
791	2131	559
792	2134	557
793	2136	554
794	2139	551
795	2141	548
796	2144	546
797	2146	543
798	2149	540
799	2151	537
800	2153	535
801	2156	532
802	2158	529
803	2161	526
804	2163	524
805	2165	521
806	2168	518
807	2170	515
808	2173	513
809	2175	510
810	2178	507
811	2180	504
812	2182	502
813	2185	499
814	2187	496
815	2190	493
816	2192	491
817	2194	488
818	2197	485
819	2199	482
820	2202	480
821	2204	477
822	2206	474
823	2209	471
824	2211	469
825	2214	466
826	2216	463
827	2219	460
828	2221	458
829	2224	455
830	2226	452
831	2228	450
832	2231	447
833	2234	444
834	2236	441
835	2239	439
836	2241	436
837	2244	433
838	2246	431
839	2249	428
840	2251	425
841	2254	423
842	2256	420
843	2259	417
844	2261	414
845	2264	412
846	2267	409
847	2269	406
848	2272	404
849	2274	401
850	2277	398
851	2279	396
852	2282	393
853	2284	390
854	2287	387
855	2290	385
856	2292	382
857	2295	379
858	2297	377
859	2300	374
860	2302	371
861	2304	368
862	2307	366
863	2309	363
864	2312	360
865	2314	358
866	2316	355
867	2319	352
868	2321	349
869	2324	347
870	2326	344
871	2329	341
872	2331	339
873	2333	336
874	2336	333
875	2338	331
876	2341	328
877	2343	325
878	2346	322
879	2348	320
880	2351	317
881	2353	314
882	2356	312
883	2358	309
884	2361	306
885	2363	304
886	2365	301
887	2368	298
888	2370	296
889	2373	293
890	2375	290
891	2378	287
892	2380	285
893	2383	282
894	2385	279
895	2387	277
896	2390	274
897	2392	271
898	2395	269
899	2397	266
900	2400	263
901	2402	261
902	2405	258
903	2407	255
904	2409	252
905	2412	250
906	2415	247
907	2417	244
908	2420	242
909	2423	239
910	2426	237
911	2428	234
912	2431	231
913	2434	229
914	2437	226
915	2439	223
916	2441	221
917	2444	218
918	2447	215
919	2449	213
920	2452	210
921	2455	207
922	2457	205
923	2459	202
924	2462	199
925	2464	196
926	2467	194
927	2469	191
928	2472	188
929	2474	186
930	2476	183
931	2479	180
932	2481	178
933	2484	175
934	2486	172
935	2489	170
936	2491	167
937	2494	164
938	2496	162
939	2499	159
940	2501	156
941	2503	154
942	2506	151
943	2508	148
944	2511	146
945	2513	143
946	2516	140
947	2518	138
948	2520	135
949	2523	132
950	2525	130
951	2527	127
952	2530	124
953	2533	122
954	2535	119
955	2537	116
956	2540	114
957	2542	111
958	2544	108
959	2547	106
960	2549	103
961	2551	100
962	2554	98
963	2556	95
964	2559	92
965	2561	90
966	2564	87
967	2566	84
968	2568	82
969	2571	79
970	2573	76
971	2576	74
972	2578	71
973	2580	68
974	2583	66
975	2585	63
976	2588	60
977	2590	58
978	2592	55
979	2595	52
980	2597	50
981	2600	47
982	2602	45
983	2604	42
984	2607	39
985	2609	37
986	2612	34
987	2614	31
988	2617	29
989	2619	26
990	2621	23
991	2624	21
992	2626	18
993	2629	15
994	2631	13
995	2633	10
996	2636	7
997	2638	5
998	2641	2
999	2643	0
